date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:20	133759/133759	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Dec%202023%2012:45:25%20GMT	https://www.iptvtemplate.shop/home-option-6/	C:/Users/ayman/Downloads/Website/ano/www.iptvtemplate.shop/home-option-6/index.html	(from )
13:45:20	114/114	---M-Z	200	added ('OK')	text/plain	date:Sat,%2023%20Dec%202023%2012:45:25%20GMT	https://www.iptvtemplate.shop/robots.txt		(from )
13:45:20	1255/1255	---M-Z	200	added ('OK')	text/css	etag:%224e7-6508cb7b-9c6ff2;gz%22	https://www.iptvtemplate.shop/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.css?ver=3.29.4	C:/Users/ayman/Downloads/Website/ano/www.iptvtemplate.shop/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/mainec5b.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:21	110035/110035	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20Nov%202023%2019:40:32%20GMT	https://c0.wp.com/c/6.4.2/wp-includes/css/dist/block-library/style.min.css	C:/Users/ayman/Downloads/Website/ano/c0.wp.com/c/6.4.2/wp-includes/css/dist/block-library/style.min.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:21	602/602	---M-Z	200	added ('OK')	text/css	etag:%2225a-64f07253-9c8d68;gz%22	https://www.iptvtemplate.shop/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-videopress/build/block-editor/blocks/video/view.css?minify=false&ver=34ae973733627b74a14e	C:/Users/ayman/Downloads/Website/ano/www.iptvtemplate.shop/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-videopress/build/block-editor/blocks/video/view1eec.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:21	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.4.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/Users/ayman/Downloads/Website/ano/c0.wp.com/c/6.4.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:21	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.4.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/Users/ayman/Downloads/Website/ano/c0.wp.com/c/6.4.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:22	10351/10351	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202023%2021:45:24%20GMT	https://c0.wp.com/p/woocommerce/8.1.1/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	C:/Users/ayman/Downloads/Website/ano/c0.wp.com/p/woocommerce/8.1.1/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:22	273024/273024	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202023%2021:45:24%20GMT	https://c0.wp.com/p/woocommerce/8.1.1/packages/woocommerce-blocks/build/wc-all-blocks-style.css	C:/Users/ayman/Downloads/Website/ano/c0.wp.com/p/woocommerce/8.1.1/packages/woocommerce-blocks/build/wc-all-blocks-style.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:22	2828/2828	---M-Z	200	added ('OK')	text/css	etag:%22b0c-6508cba4-a4453c;gz%22	https://www.iptvtemplate.shop/wp-content/plugins/woolentor-addons/woolentor-blocks/src/assets/css/common-style.css?ver=2.6.9	C:/Users/ayman/Downloads/Website/ano/www.iptvtemplate.shop/wp-content/plugins/woolentor-addons/woolentor-blocks/src/assets/css/common-stylea19e.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:22	20985/20985	---M-Z	200	added ('OK')	text/css	etag:%2251f9-6508cba4-a4453e;gz%22	https://www.iptvtemplate.shop/wp-content/plugins/woolentor-addons/woolentor-blocks/src/assets/css/style-index.css?ver=2.6.9	C:/Users/ayman/Downloads/Website/ano/www.iptvtemplate.shop/wp-content/plugins/woolentor-addons/woolentor-blocks/src/assets/css/style-indexa19e.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:23	72185/72185	---M-Z	200	added ('OK')	text/css	etag:%22119f9-64ba99e5-9a79e8;gz%22	https://www.iptvtemplate.shop/wp-content/plugins/popup-builder/public/css/theme.css?ver=4.1.15	C:/Users/ayman/Downloads/Website/ano/www.iptvtemplate.shop/wp-content/plugins/popup-builder/public/css/theme9d4d.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:23	1548/1548	---M-Z	200	added ('OK')	text/css	etag:%2260c-64ba99e5-9a79e2;gz%22	https://www.iptvtemplate.shop/wp-content/plugins/popup-builder/public/css/ResetFormStyle.css?ver=4.1.15	C:/Users/ayman/Downloads/Website/ano/www.iptvtemplate.shop/wp-content/plugins/popup-builder/public/css/ResetFormStyle9d4d.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:23	2345/2345	---M-Z	200	added ('OK')	text/css	etag:%22929-64ba99e5-9a79e7;gz%22	https://www.iptvtemplate.shop/wp-content/plugins/popup-builder/public/css/SubscriptionForm.css?ver=4.1.15	C:/Users/ayman/Downloads/Website/ano/www.iptvtemplate.shop/wp-content/plugins/popup-builder/public/css/SubscriptionForm9d4d.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:23	17572/17572	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202023%2021:45:24%20GMT	https://c0.wp.com/p/woocommerce/8.1.1/assets/css/woocommerce-layout.css	C:/Users/ayman/Downloads/Website/ano/c0.wp.com/p/woocommerce/8.1.1/assets/css/woocommerce-layout.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:23	7043/7043	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202023%2021:45:24%20GMT	https://c0.wp.com/p/woocommerce/8.1.1/assets/css/woocommerce-smallscreen.css	C:/Users/ayman/Downloads/Website/ano/c0.wp.com/p/woocommerce/8.1.1/assets/css/woocommerce-smallscreen.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:24	74669/74669	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202023%2021:45:24%20GMT	https://c0.wp.com/p/woocommerce/8.1.1/assets/css/woocommerce.css	C:/Users/ayman/Downloads/Website/ano/c0.wp.com/p/woocommerce/8.1.1/assets/css/woocommerce.css	(from https://www.iptvtemplate.shop/home-option-6/)
13:45:24	30999/30999	---M-Z	200	added ('OK')	text/css	etag:%227917-6508cb88-a09445;gz%22	https://www.iptvtemplate.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/ayman/Downloads/Website/ano/www.iptvtemplate.shop/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://www.iptvtemplate.shop/home-option-6/)
